date month year variable value units
2/1/1945 2 1945 TLG 0.30484 MAF
3/1/1945 3 1945 TLG 0.16441 MAF
4/1/1945 4 1945 TLG 0.28426 MAF
5/1/1945 5 1945 TLG 0.45507 MAF
6/1/1945 6 1945 TLG 0.46226 MAF
7/1/1945 7 1945 TLG 0.16306 MAF
8/1/1945 8 1945 TLG 0.01676 MAF
9/1/1945 9 1945 TLG 0 MAF
10/1/1945 10 1945 TLG 0.06031 MAF
11/1/1945 11 1945 TLG 0.0983 MAF
12/1/1945 12 1945 TLG 0.20774 MAF
1/1/1946 1 1946 TLG 0.11891 MAF
2/1/1946 2 1946 TLG 0.06989 MAF
3/1/1946 3 1946 TLG 0.1558 MAF
4/1/1946 4 1946 TLG 0.34784 MAF
5/1/1946 5 1946 TLG 0.48851 MAF
6/1/1946 6 1946 TLG 0.26455 MAF
7/1/1946 7 1946 TLG 0.05617 MAF
8/1/1946 8 1946 TLG 0.00793 MAF
9/1/1946 9 1946 TLG 0.00336 MAF
10/1/1946 10 1946 TLG 0.01607 MAF
11/1/1946 11 1946 TLG 0.064 MAF
12/1/1946 12 1946 TLG 0.07672 MAF
1/1/1947 1 1947 TLG 0.04188 MAF
2/1/1947 2 1947 TLG 0.08022 MAF
3/1/1947 3 1947 TLG 0.13606 MAF
4/1/1947 4 1947 TLG 0.19222 MAF
5/1/1947 5 1947 TLG 0.3525 MAF
6/1/1947 6 1947 TLG 0.11075 MAF
7/1/1947 7 1947 TLG 0.02088 MAF
